tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,age_difference,rank_difference,anomaly
1814,Stuttgart,18,28,A,1970-01-01 00:00:00.020120709,19.0,900,,Q,Pavol Cervenak,R,,SVK,25.0239561944,206.0,239.0,430,8.0,,Tommy Haas,R,188.0,GER,34.2669404517,52.0,818.0,6-4 6-4,3.0,R16,93.0,2.0,2.0,74.0,47.0,30.0,16.0,10.0,8.0,9.0,2.0,7.0,54.0,28.0,20.0,12.0,10.0,2.0,5.0,-9.242984257300002,154.0,-1
913,Poertschach,18,32,A,1970-01-01 00:00:00.020060522,17.0,538,1.0,,Nikolay Davydenko,R,178.0,RUS,24.9691991786,6.0,2295.0,412,,Q,Ruben Ramirez Hidalgo,R,183.0,ESP,28.372347707,80.0,511.0,6-2 6-4,3.0,R16,68.0,6.0,1.0,50.0,31.0,25.0,10.0,9.0,3.0,4.0,1.0,1.0,49.0,30.0,19.0,7.0,9.0,1.0,5.0,-3.403148528399999,-74.0,-1
486,Washington,20,48,A,1970-01-01 00:00:00.020030728,24.0,317,7.0,,Max Mirnyi,R,196.0,BLR,26.0588637919,34.0,955.0,482,,,Alex Kim,R,175.0,USA,24.6023271732,156.0,253.0,4-6 6-3 6-4,3.0,R32,117.0,14.0,3.0,100.0,67.0,50.0,19.0,15.0,7.0,8.0,4.0,1.0,95.0,65.0,43.0,18.0,14.0,8.0,10.0,1.4565366186999995,-122.0,-1
1114,Wimbledon,19,128,G,1970-01-01 00:00:00.020070625,102.0,583,,,Paul Henri Mathieu,R,185.0,FRA,25.4483230664,39.0,825.0,495,15.0,,Ivan Ljubicic,R,193.0,CRO,28.2683093771,12.0,1940.0,4-6 7-5 6-2 6-3,5.0,R32,182.0,6.0,2.0,122.0,75.0,60.0,25.0,20.0,10.0,11.0,14.0,3.0,148.0,92.0,64.0,25.0,19.0,6.0,10.0,-2.819986310699999,27.0,-1
1072,Kitzbuhel,18,48,A,1970-01-01 00:00:00.020070723,13.0,671,,Q,Rainer Eitzinger,R,178.0,AUT,24.0684462697,406.0,78.0,380,,,Max Mirnyi,R,196.0,BLR,30.045174538,89.0,468.0,6-4 3-6 7-6(3),3.0,R64,123.0,0.0,4.0,108.0,82.0,54.0,15.0,15.0,5.0,7.0,11.0,5.0,96.0,48.0,37.0,27.0,16.0,3.0,5.0,-5.9767282683000005,317.0,-1
610,Auckland,20,32,A,1970-01-01 00:00:00.020040112,6.0,389,,,Alberto Martin,R,175.0,ESP,25.3963039014,52.0,642.0,340,,,Stefan Koubek,L,175.0,AUT,27.0253251198,91.0,410.0,6-4 6-4,3.0,R32,77.0,1.0,5.0,65.0,39.0,27.0,15.0,10.0,1.0,3.0,1.0,4.0,77.0,50.0,28.0,12.0,10.0,10.0,14.0,-1.629021218400002,-39.0,-1
2306,Beijing,20,32,A,1970-01-01 00:00:00.020151005,5.0,598,4.0,,David Ferrer,R,175.0,ESP,33.5085557837,7.0,3945.0,1183,,,Thomaz Bellucci,L,188.0,BRA,27.7645448323,31.0,1205.0,6-4 6-3,3.0,R32,,2.0,1.0,64.0,45.0,34.0,9.0,10.0,2.0,3.0,2.0,1.0,59.0,28.0,20.0,14.0,9.0,3.0,6.0,5.744010951399996,-24.0,-1
769,Stuttgart,18,48,A,1970-01-01 00:00:00.020050718,35.0,711,,,Andreas Seppi,R,190.0,ITA,21.4045174538,77.0,506.0,746,4.0,,Tommy Robredo,R,180.0,ESP,23.2142368241,16.0,1485.0,7-5 2-6 6-1,3.0,R16,92.0,2.0,4.0,80.0,47.0,32.0,20.0,14.0,7.0,10.0,2.0,3.0,78.0,56.0,39.0,9.0,13.0,8.0,12.0,-1.809719370299998,61.0,-1
1408,Buenos Aires,18,32,A,1970-01-01 00:00:00.020090216,5.0,675,,Q,Maximo Gonzalez,R,175.0,ARG,25.5797399042,108.0,841.0,317,4.0,,Carlos Moya,R,190.0,ESP,32.4736481862,49.0,1370.0,6-4 6-4,3.0,R32,78.0,1.0,3.0,59.0,36.0,27.0,11.0,10.0,1.0,3.0,4.0,3.0,54.0,30.0,20.0,11.0,10.0,4.0,8.0,-6.893908282000002,59.0,-1
2827,R,5,ESP,33.697467488,1970-01-01 00:00:00.000000043,1000.0,1759,3.0,R16,61.0,8.0,4.0,46.0,26.0,24.0,11.0,1959,2.0,3.0,1.0,1.0,50.0,24.0,17.0,9.0,8.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,9.0,15.0,-1
