tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,age_difference,rank_difference,anomaly,expected_rank_difference,positive_anomaly,negative_anomaly
1003,Davis Cup G1 R2: MEX vs CAN,18,4,D,2006-04-07,1.0,528,,,Miguel Gallardo Valles,R,,MEX,24.9856262834,344.0,92.0,920,,,Frank Dancevic,R,185.0,CAN,21.5167693361,142.0,286.0,7-6(4) 6-2 4-6 6-3,5.0,RR,,,,,,,,,,,,,,,,,,,,3.4688569472999973,-202.0,-1,-190.59567,False,True
1099,Stockholm,20,32,A,2007-10-07,9.0,717,5.0,,Juan Monaco,R,185.0,ARG,23.5263518138,20.0,1310.0,1117,,WC,Ervin Eleskovic,R,,SWE,20.4188911704,678.0,25.0,6-3 6-3,3.0,R32,84.0,2.0,1.0,57.0,32.0,26.0,16.0,9.0,7.0,7.0,5.0,3.0,52.0,25.0,17.0,13.0,9.0,1.0,4.0,3.107460643400003,658.0,-1,667.31354,False,True
113,Davis Cup G2 SF: CRO vs CIV,17,4,D,2000-10-06,2.0,411,,,Ivan Ljubicic,R,193.0,CRO,21.5414099932,87.0,507.0,580,,,Valentin Sanon,R,,CIV,20.3696098563,622.0,23.0,6-3 7-6(6) 6-3,5.0,RR,,,,,,,,,,,,,,,,,,,,1.1718001369,535.0,-1,540.8149,False,True
1749,Davis Cup G1 R1: PHI vs JPN,18,4,D,2011-03-04,3.0,739,,,Go Soeda,R,178.0,JPN,26.4804928131,110.0,508.0,307,,,Cecil Mamiit,R,173.0,PHI,34.6721423682,738.0,19.0,7-6(5) 6-2 3-6 6-3,5.0,RR,,,,,,,,,,,,,,,,,,,,-8.1916495551,628.0,-1,637.8551,False,True
917,Newport,19,32,A,2006-07-10,30.0,284,,WC,Mark Philippoussis,R,196.0,AUS,29.6700889802,214.0,184.0,660,6.0,,Jurgen Melzer,L,183.0,AUT,25.1334702259,91.0,435.0,6-7(2) 6-2 6-0,3.0,SF,108.0,16.0,6.0,77.0,47.0,41.0,16.0,13.0,0.0,0.0,9.0,5.0,90.0,55.0,33.0,20.0,13.0,5.0,10.0,4.536618754300001,-123.0,-1,-114.68388,False,True
1381,Miami Masters,20,96,M,2009-03-25,88.0,548,2.0,,Roger Federer,R,185.0,SUI,27.6221765914,2.0,10910.0,653,,Q,Taylor Dent,R,188.0,USA,27.9123887748,467.0,115.0,6-3 6-2,3.0,R16,86.0,5.0,4.0,68.0,41.0,34.0,13.0,9.0,8.0,8.0,3.0,5.0,81.0,45.0,30.0,15.0,8.0,8.0,11.0,-0.2902121834000013,465.0,-1,471.10928,False,True
1606,Davis Cup G1 R2: BRA vs URU,18,4,D,2010-05-07,3.0,932,,,Thomaz Bellucci,L,188.0,BRA,22.340862423,26.0,1457.0,911,,,Marcel Felder,R,,URU,25.8151950719,267.0,166.0,6-4 6-1,3.0,RR,,,,,,,,,,,,,,,,,,,,-3.474332648899999,241.0,-1,247.40552,False,True
791,Canada Masters,20,64,M,2005-08-08,2.0,505,,,Ricardo Mello,L,175.0,BRA,24.629705681,56.0,648.0,1244,,WC,Philip Bester,R,188.0,CAN,16.8377823409,978.0,7.0,6-4 6-2,3.0,R64,62.0,4.0,2.0,58.0,37.0,31.0,12.0,9.0,2.0,2.0,3.0,2.0,52.0,32.0,21.0,9.0,9.0,4.0,7.0,7.791923340100002,922.0,-1,934.91675,False,True
1368,Bastad,18,28,A,2009-07-13,7.0,518,,WC,Andreas Vinciguerra,L,180.0,SWE,28.3942505133,460.0,98.0,640,6.0,,Florent Serra,R,180.0,FRA,28.3696098563,50.0,996.0,6-7(5) 6-3 6-4,3.0,R32,145.0,9.0,5.0,127.0,84.0,62.0,21.0,16.0,15.0,16.0,2.0,2.0,109.0,75.0,49.0,19.0,15.0,6.0,9.0,0.02464065700000262,-410.0,-1,-403.30875,False,True
448,Davis Cup G2 PO: RSA vs HUN,20,4,D,2002-07-12,4.0,498,,,Balazs Veress,R,,HUN,21.735797399,1321.0,2.0,581,,,Rik De Voest,R,180.0,RSA,22.0889801506,359.0,80.0,6-1 2-6 6-3,3.0,RR,,,,,,,,,,,,,,,,,,,,-0.3531827516000021,-962.0,-1,-933.3437,False,True
