tourney_id,anomalies
7,5
622,4
806,4
419,3
821,3
1554,3
954,3
1529,3
924,3
1397,3
1415,2
1081,2
1197,2
105,2
1569,2
2105,2
2343,2
917,2
1055,2
2291,2
965,2
221,2
1943,2
1275,2
172,2
1376,2
960,2
2248,2
188,2
150,2
1265,2
1605,2
1100,2
128,2
1868,2
1109,2
260,2
501,2
1663,2
1375,2
886,2
1902,2
1666,2
158,2
1224,2
299,2
2149,2
1870,2
487,2
2089,2
802,2
1680,2
470,2
114,2
1724,2
1103,2
2154,2
2044,2
2298,2
1212,2
2211,2
210,2
519,2
427,2
2366,2
2129,2
1381,2
526,2
448,2
284,2
2297,2
1368,2
1323,1
192,1
38,1
111,1
584,1
2272,1
1298,1
2064,1
966,1
721,1
1489,1
1482,1
877,1
2109,1
503,1
1363,1
2234,1
1509,1
933,1
2133,1
1647,1
2382,1
552,1
1239,1
1237,1
2134,1
2203,1
2097,1
1290,1
1606,1
1490,1
1858,1
1172,1
496,1
1159,1
1819,1
359,1
1700,1
1345,1
1672,1
2126,1
2057,1
220,1
1158,1
209,1
1576,1
1887,1
929,1
1503,1
2329,1
403,1
382,1
1798,1
392,1
1160,1
5,1
354,1
92,1
1263,1
772,1
351,1
1328,1
1162,1
2230,1
1083,1
2148,1
1035,1
1891,1
2362,1
884,1
1064,1
1443,1
1038,1
1446,1
451,1
1860,1
2242,1
1088,1
2235,1
2059,1
1449,1
971,1
887,1
95,1
64,1
156,1
1791,1
2000,1
2084,1
522,1
1244,1
798,1
746,1
982,1
1281,1
1742,1
1193,1
369,1
1732,1
1973,1
53,1
1467,1
1750,1
1118,1
941,1
386,1
66,1
1270,1
1775,1
1893,1
680,1
1254,1
2285,1
36,1
312,1
21,1
282,1
1075,1
783,1
962,1
1015,1
595,1
1221,1
950,1
1296,1
287,1
1970,1
920,1
213,1
1894,1
1404,1
633,1
1685,1
609,1
2038,1
1261,1
1057,1
672,1
1809,1
2334,1
888,1
1908,1
263,1
325,1
571,1
763,1
1325,1
708,1
1300,1
1722,1
334,1
937,1
1822,1
702,1
1199,1
1876,1
2365,1
110,1
1385,1
504,1
2151,1
1098,1
2303,1
2273,1
2200,1
1023,1
1273,1
2344,1
2012,1
748,1
417,1
742,1
305,1
104,1
757,1
2327,1
2274,1
1156,1
918,1
463,1
575,1
1087,1
1602,1
1505,1
807,1
1320,1
1306,1
744,1
728,1
2083,1
1596,1
161,1
871,1
1709,1
696,1
211,1
1950,1
1182,1
2239,1
666,1
2288,1
1686,1
824,1
1515,1
1717,1
1157,1
54,1
1784,1
1513,1
103,1
1078,1
1126,1
935,1
1019,1
538,1
551,1
1508,1
1799,1
1492,1
28,1
1072,1
2317,1
900,1
719,1
1395,1
1628,1
107,1
506,1
1084,1
1620,1
942,1
234,1
55,1
1460,1
587,1
2246,1
1719,1
2299,1
1574,1
125,1
2384,1
1584,1
365,1
1324,1
1662,1
1698,1
1812,1
711,1
1780,1
1121,1
1276,1
573,1
1250,1
963,1
922,1
1128,1
1730,1
1457,1
1959,1
693,1
591,1
307,1
497,1
164,1
411,1
2072,1
1854,1
2191,1
134,1
1702,1
1209,1
441,1
2376,1
1278,1
1422,1
3,1
794,1
632,1
397,1
1675,1
1895,1
2374,1
1921,1
1627,1
1005,1
1512,1
258,1
1247,1
2076,1
964,1
2130,1
986,1
2249,1
1393,1
536,1
875,1
1013,1
459,1
638,1
42,1
2372,1
1241,1
466,1
1206,1
102,1
906,1
1026,1
1412,1
313,1
62,1
8,1
2011,1
977,1
165,1
1163,1
2106,1
881,1
1053,1
123,1
1968,1
843,1
2360,1
1,1
99,1
433,1
1284,1
63,1
2013,1
1773,1
1607,1
1186,1
674,1
789,1
185,1
348,1
1447,1
57,1
2253,1
1358,1
1985,1
219,1
1215,1
1473,1
610,1
663,1
1706,1
418,1
502,1
1204,1
1641,1
1461,1
439,1
569,1
416,1
1402,1
2058,1
897,1
1089,1
2101,1
1112,1
1169,1
1201,1
1542,1
1749,1
1565,1
1925,1
2189,1
1630,1
2006,1
1715,1
554,1
68,1
1170,1
1002,1
295,1
47,1
791,1
113,1
1099,1
1003,1
78,1
404,1
1997,1
1069,1
