,Number of Anomalies
Roger Federer,265
David Ferrer,204
Novak Djokovic,202
Tommy Robredo,186
Mikhail Youzhny,182
Nikolay Davydenko,174
Rafael Nadal,171
Feliciano Lopez,160
Andy Roddick,155
Tomas Berdych,155
Juan Carlos Ferrero,151
Andy Murray,150
Fernando Verdasco,146
Lleyton Hewitt,146
Gilles Simon,146
Nicolas Almagro,141
Richard Gasquet,140
Ivan Ljubicic,139
Jurgen Melzer,136
Ivo Karlovic,136
Radek Stepanek,133
Tommy Haas,132
Philipp Kohlschreiber,130
Jarkko Nieminen,125
Rainer Schuettler,124
Juan Ignacio Chela,118
James Blake,115
Mardy Fish,114
Stanislas Wawrinka,114
Albert Montanes,113
Arnaud Clement,112
Xavier Malisse,112
Guillermo Garcia Lopez,112
Paul Henri Mathieu,110
Andreas Seppi,109
David Nalbandian,109
Fernando Gonzalez,108
Robin Soderling,108
Julien Benneteau,108
Marin Cilic,105
Carlos Moya,104
Gael Monfils,99
Juan Martin Del Potro,99
Jo Wilfried Tsonga,99
Marcos Baghdatis,96
Juan Monaco,96
Olivier Rochus,95
Marat Safin,94
John Isner,94
Sam Querrey,94
Janko Tipsarevic,92
Victor Hanescu,91
Nicolas Massu,91
Nicolas Kiefer,89
Jiri Novak,88
Kevin Anderson,87
Tim Henman,87
Paradorn Srichaphan,86
Andre Agassi,86
Andrei Pavel,86
Fabio Fognini,82
Jeremy Chardy,82
Mario Ancic,82
Igor Andreev,82
Gaston Gaudio,82
Florian Mayer,81
Stefan Koubek,81
Jonas Bjorkman,79
Sebastien Grosjean,79
Dmitry Tursunov,79
Alberto Martin,78
Fabrice Santoro,78
Viktor Troicki,78
Max Mirnyi,78
Dominik Hrbaty,78
Robby Ginepri,77
Agustin Calleri,77
Thomas Johansson,77
Nicolas Lapentti,76
Michael Llodra,76
Denis Istomin,76
Guillermo Canas,76
Guillermo Coria,75
Benjamin Becker,74
Jose Acasuso,74
Hyung Taik Lee,72
Potito Starace,72
Filippo Volandri,71
Ernests Gulbis,71
Alexandr Dolgopolov,70
Marcel Granollers,70
Yevgeny Kafelnikov,69
Kei Nishikori,68
Thomaz Bellucci,67
Nicolas Mahut,65
Sergiy Stakhovsky,64
Simone Bolelli,64
Mariano Zabaleta,64
Christophe Rochus,63
Yen Hsun Lu,62
Florent Serra,61
Luis Horna,60
Milos Raonic,60
Grigor Dimitrov,59
Gustavo Kuerten,59
Davide Sanguinetti,58
Daniel Gimeno Traver,58
Vincent Spadea,58
Santiago Giraldo,57
Robin Haase,57
Lukasz Kubot,56
Sjeng Schalken,55
Dudi Sela,55
Alejandro Falla,54
Pablo Andujar,54
2.0,54
Pablo Cuevas,54
Jan Michael Gambill,54
Albert Costa,54
Greg Rusedski,53
Kenneth Carlsen,53
Alex Corretja,53
Felix Mantilla,52
David Sanchez,51
Carlos Berlocq,51
Gilles Muller,51
Raemon Sluiter,50
Thomas Enqvist,49
4.0,49
Donald Young,48
Lukas Rosol,48
Fernando Vicente,48
Bernard Tomic,48
Ivan Dodig,47
3.0,45
Mark Philippoussis,44
Evgeny Korolev,44
Edouard Roger Vasselin,44
Taylor Dent,44
Albert Ramos,44
Mikhail Kukushkin,43
Wayne Ferreira,43
Igor Kunitsyn,43
Teymuraz Gabashvili,43
Hicham Arazi,43
Ruben Ramirez Hidalgo,43
Wayne Arthurs,42
Younes El Aynaoui,42
Jan Hernych,42
Frank Dancevic,41
Bjorn Phau,41
Benoit Paire,41
Martin Klizan,41
Leonardo Mayer,40
6.0,40
Roberto Bautista Agut,40
Antony Dupuis,40
Michael Russell,40
Steve Darcis,39
Jerzy Janowicz,39
Magnus Norman,38
1.0,38
Michel Kratochvil,38
Ricardo Mello,37
Cyril Saulnier,37
Mischa Zverev,36
Horacio Zeballos,36
Vasek Pospisil,36
Oscar Hernandez,36
Karol Kucera,36
Lukas Lacko,36
Daniel Brands,36
Albert Portas,35
Franco Squillari,35
Todd Martin,34
8.0,34
Tobias Kamke,34
David Goffin,34
Marco Chiudinelli,34
Jiri Vanek,34
5.0,34
0.0,34
Pete Sampras,34
Kristof Vliegen,33
Francisco Clavet,33
Mariano Puerta,33
Marcelo Rios,32
Paul Goldstein,32
Sargis Sargsian,32
Ryan Harrison,32
Alex Calatrava,32
Lars Burgsmuller,32
Flavio Saretta,32
Rajeev Ram,31
Philipp Petzschner,31
Andre Sa,31
Andreas Vinciguerra,31
Jerome Golmard,30
Justin Gimelstob,30
Michael Berrer,30
Pere Riba,29
Martin Vassallo Arguello,29
Go Soeda,29
Wesley Moodie,29
Galo Blanco,29
Marinko Matosevic,29
Marc Gicquel,29
Nicolas Escude,29
Jan Hajek,29
Andrey Golubev,28
Cedric Pioline,28
Paul Capdeville,28
Jack Sock,28
Somdev Devvarman,27
Karol Beck,27
Adrian Mannarino,27
Federico Delbonis,27
Kevin Kim,27
Marc Rosset,27
Frederico Gil,27
Adrian Voinea,27
Robert Kendrick,27
Joao Sousa,26
Peter Luczak,26
Fernando Meligeni,26
Alex Bogomolov Jr,25
Matthew Ebden,25
Ricardas Berankis,25
Blaz Kavcic,25
Cecil Mamiit,25
Bobby Reynolds,25
Jesse Levine,25
Michael Chang,25
Thiemo De Bakker,25
Kristian Pless,24
Paolo Lorenzi,24
Jean Rene Lisnard,24
Julien Boutter,24
Harel Levy,24
Bohdan Ulihrach,24
Martin Verkerk,24
George Bastl,24
Tomas Behrend,23
Grega Zemlja,23
Goran Ivanisevic,23
Patrick Rafter,23
Andreas Haider Maurer,23
Danai Udomchoke,22
7.0,22
Arnaud Di Pasquale,22
Andrey Kuznetsov,22
Dominic Thiem,22
Jimmy Wang,22
Maximo Gonzalez,22
Alexander Popp,22
Malek Jaziri,22
Dusan Lajovic,21
Igor Sijsling,21
Irakli Labadze,21
Kenny De Schepper,21
Juan Antonio Marin,21
Sergio Roitman,21
Steve Johnson,21
Wayne Odesnik,21
Andrea Gaudenzi,21
Andreas Beck,21
Eduardo Schwank,21
Simon Greul,21
Andrew Ilie,21
10.0,21
Rik De Voest,20
Aljaz Bedene,20
Vladimir Voltchkov,20
Amer Delic,19
James Ward,19
Chris Guccione,19
Richard Krajicek,19
Flavio Cipolla,19
Alexander Waske,19
Joachim Johansson,18
Boris Pashanski,18
Marsel Ilhan,18
Rui Machado,18
Samuel Groth,17
Ramon Delgado,17
Michal Przysiezny,17
Andrei Medvedev,17
Ryan Sweeting,17
Ivan Navarro,17
Jeff Morrison,17
Daniele Bracciali,17
Victor Estrella,17
Karim Alami,16
Pablo Carreno Busta,16
Lukas Dlouhy,16
9.0,16
Santiago Ventura,16
Nick Kyrgios,15
Jiri Vesely,15
Dustin Brown,15
Robin Vik,15
Andrei Stoliarov,15
David Prinosil,15
Illya Marchenko,15
Nicolas Devilder,15
Olivier Mutis,15
Marcos Daniel,15
Ze Zhang,15
Ivan Miranda,15
Roko Karanusic,14
Ivo Heuberger,14
Michal Tabara,14
Juan Balcells,14
Michael Kohlmann,14
Jason Stoltenberg,14
Byron Black,14
Gianluca Pozzi,14
Ivo Minar,14
Joao Souza,13
Brian Baker,13
Evgeny Donskoy,13
Jeff Tarango,13
Chris Woodruff,13
Victor Crivoi,13
Jan Vacek,13
Daniel Koellerer,13
Thierry Ascione,13
Jan Siemerink,13
Magnus Gustafsson,13
Brian Vahaly,12
Tim Smyczek,12
Adrian Ungur,12
Tatsuma Ito,12
Jan Lennard Struff,12
Dick Norman,12
Noam Okun,12
Werner Eschauer,12
Federico Luzzi,12
Borna Coric,12
Tomas Zib,12
Denis Kudla,12
John Van Lottum,12
Alex Bogdanovic,12
Gregory Carraz,11
Sergi Bruguera,11
Peter Wessels,11
80.0,11
Peter Polansky,11
Slava Dosedel,11
Wayne Black,11
Alexander Peya,11
Alejandro Gonzalez,11
Stephane Robert,11
Attila Savolt,11
Nicolas Thomann,11
Stefano Galvani,10
Markus Hantschk,10
Markus Hipfl,10
Gilles Elseneer,10
Magnus Larsson,10
Guido Pella,10
Takao Suzuki,10
Martin Damm,10
Rhyne Williams,10
Rogerio Dutra Silva,10
Pierre Hugues Herbert,10
Jesse Huta Galung,10
Marius Copil,10
Dennis Van Scheppingen,10
Benjamin Balleret,10
Frederic Niemeyer,10
Scott Draper,10
Denis Gremelmayr,10
Matthias Bachinger,10
Martin Lee,10
Laurence Tieleman,9
11.0,9
Thiago Alves,9
Alexander Zverev,9
Marc Lopez,9
Zeljko Krajan,9
Diego Sebastian Schwartzman,9
Gouichi Motomura,9
Giovanni Lapentti,9
Edwin Kempes,9
Richard Fromberg,9
Neville Godwin,9
13.0,8
Alexandre Simoni,8
Peng Sun,8
Julian Reister,8
Daniel Nestor,8
Adrian Garcia,8
Sebastien Lareau,8
104.0,8
Nicolas Coutelot,8
Jose De Armas,8
Michael Lammer,8
68.0,8
Jamie Delgado,8
