tourney_id,anomalies
1412,33
2145,32
1705,32
1409,32
210,32
812,32
1558,31
2000,30
2287,30
213,30
810,29
356,29
209,29
2143,29
662,29
1411,28
663,28
2291,28
1703,28
515,28
359,27
1264,27
2285,27
207,27
962,27
1853,27
1415,26
666,26
1851,26
1556,26
1263,26
54,26
56,26
816,26
1562,25
1709,25
964,25
2003,25
511,25
1115,25
1559,24
24,24
59,24
358,24
1826,24
1825,24
1706,23
1381,23
1112,23
1857,23
968,23
1974,23
965,23
660,23
509,23
362,23
1997,23
632,23
326,22
2146,22
936,22
1854,21
1235,21
2264,21
1086,21
176,21
1999,21
935,21
2148,20
813,20
479,20
55,20
1114,20
2265,20
1539,19
327,19
631,19
1267,19
944,19
940,19
1087,19
1973,18
782,18
2140,18
1528,18
186,18
783,18
1681,18
1382,17
1551,17
177,17
1715,17
156,17
1676,17
181,17
2271,17
1836,17
1536,17
336,16
1261,16
1276,16
512,16
317,16
1118,16
1980,16
786,15
640,15
1073,15
635,15
1531,15
1092,15
335,15
644,14
187,14
1677,14
2272,14
1533,14
25,14
38,14
33,14
676,14
2120,14
943,14
185,14
2288,14
1393,14
1405,13
23,13
34,13
2121,13
2106,13
1994,13
1237,13
70,13
492,13
763,13
488,13
1979,13
1529,13
787,12
1535,12
1094,12
1983,12
1952,12
31,12
915,12
1847,12
1830,12
1843,12
1377,12
1365,12
636,12
641,12
1534,12
646,12
2799,12
1089,12
1871,12
758,12
1090,12
1075,12
773,12
3,12
1804,12
1234,12
942,12
1684,12
1673,12
1390,12
522,11
480,11
795,11
497,11
466,11
1359,11
162,11
1998,11
1242,11
1230,11
1687,11
46,11
791,11
1525,11
304,11
470,11
163,11
32,11
1386,11
1095,11
613,11
499,11
337,11
483,11
1976,11
1098,11
1524,11
768,11
638,11
484,11
1855,11
2305,11
330,11
1981,11
10,11
334,11
2124,11
825,11
1661,11
1389,11
332,11
16,11
467,11
2123,11
1111,11
947,10
1863,10
461,10
912,10
513,10
322,10
789,10
2126,10
1270,10
1696,10
1835,10
620,10
1116,10
2404,10
308,10
1680,10
2243,10
1821,10
1061,10
637,10
1402,10
183,10
2269,10
318,10
30,10
1243,10
18,10
161,10
348,10
1512,10
1399,10
43,10
29,10
769,10
13,10
485,10
1424,10
2268,10
939,10
1663,10
1413,10
1091,10
931,10
1233,10
2118,10
1082,10
1227,10
673,10
2267,10
924,10
1682,10
975,10
790,10
1507,9
1,9
627,9
922,9
1067,9
1701,9
953,9
4,9
971,9
2129,9
2298,9
35,9
460,9
165,9
339,9
182,9
476,9
1224,9
647,9
331,9
1809,9
351,9
2270,9
2567,9
2116,9
353,9
923,9
1238,9
51,9
1252,9
1273,9
929,9
803,9
1511,9
788,9
1993,9
1519,9
501,9
952,9
1248,9
1561,9
212,9
201,9
1995,9
355,9
5,9
195,9
2136,9
1840,9
1828,9
1523,9
21,9
206,9
307,9
345,9
643,9
489,9
1555,9
1978,9
1101,9
1372,9
1965,9
1368,9
2128,9
925,9
1387,9
2296,9
175,9
1987,9
1107,9
1275,9
508,9
1266,9
486,9
938,9
622,9
211,9
2127,9
205,9
1271,9
1080,9
670,9
12,9
1079,9
2,8
1831,8
792,8
780,8
920,8
815,8
2155,8
1565,8
1228,8
819,8
153,8
1811,8
1971,8
504,8
1690,8
2439,8
349,8
1573,8
2151,8
1967,8
324,8
1246,8
1832,8
311,8
28,8
1219,8
1223,8
20,8
473,8
14,8
1807,8
1829,8
22,8
41,8
2304,8
503,8
1380,8
65,8
1065,8
1254,8
1221,8
671,8
1398,8
1508,8
1239,8
805,8
2294,8
771,8
456,8
1810,8
1568,8
333,8
1513,8
1699,8
1818,8
1110,8
1657,8
2161,8
2273,8
802,8
1860,8
801,8
204,8
1953,8
2258,8
630,8
360,8
371,8
44,8
811,8
1255,8
158,8
1085,8
342,8
357,8
1977,8
167,8
1066,8
1656,8
1532,8
47,8
1215,8
760,8
664,8
1683,8
1084,8
774,8
1240,8
794,8
1572,8
1214,8
963,8
2281,8
2100,8
1416,8
198,8
1378,8
1247,8
652,8
2299,8
502,8
0,8
475,8
490,8
804,8
656,8
9,8
1955,8
2732,8
1113,8
1856,8
2808,8
669,8
1834,8
809,8
2735,8
941,8
458,7
2605,7
616,7
1384,7
462,7
1679,7
1722,7
654,7
2266,7
315,7
471,7
913,7
781,7
1265,7
2278,7
519,7
1548,7
1557,7
2280,7
468,7
608,7
347,7
2301,7
2125,7
1717,7
921,7
2163,7
1570,7
1700,7
1076,7
2262,7
2591,7
2468,7
2111,7
2283,7
1514,7
2274,7
157,7
521,7
2290,7
2308,7
946,7
1867,7
